word,part_of_speech,is_ste,approved_meaning,ste_example,non_ste_example
AIRBORNE,adjective,1,"In, or used in, flight",POSITION 2 OF THE SWITCH GIVES A SIGNAL OF THE AIRCRAFT AIRBORNE CONDITION.,
AIRFLOW,noun,1,A flow of air,MAKE SURE THAT THE AIRFLOW IS NOT MORE THAN 10 LITERS/MINUTE.,
"ALIGN (verb) , ALIGNS, ALIGNED, ALIGNED",,1,To put or come into a specified position in relation to a line,ALIGN THE FLANGE HOLES WITH THE STUDS.,
ALL,adjective,1,Full quantity,DRAIN ALL THE FLUIDS.,
ALMOST,adverb,1,Near the limit or the value,MAKE SURE THAT THE PRESSURE IN THE CABIN IS ALMOST ZERO.,
ALONG,preposition,1,In a line parallel with the length or direction of,MOVE THE TENSIOMETER ALONG THE CABLE.,
ALSO,adverb,1,In addition,ALSO DO THE APPLICABLE STEPS OF THIS PROCEDURE.,
ALTERNATIVE,adjective,1,That gives a choice,YOU CAN USE ALTERNATIVE MATERIALS.,
ALTERNATIVE,noun,1,One of two or more objects or processes that have the same or almost the same properties or functions,A BIO-BASED FUEL CAN BE AN ALTERNATIVE TO FUELS JET-A1 AND JET-A.,
ALTHOUGH,conjunction,1,In spite of the fact that,"ALTHOUGH THE PRESSURE DECREASES, THE VALVE MUST STAY CLOSED.",
ALWAYS,adverb,1,At all times,ALWAYS KEEP THE BRIGHTNESS CONTROL ON THE LCD DISPLAY AT MAXIMUM.,
AN,article,1,Function word: indefinite article,MAKE AN ENTRY IN THE LOGBOOK.,
ANALOG,adjective,1,Of data given by pointers and dials,THE PRE-MOD UNIT HAS ANALOG INDICATORS.,
AND,conjunction,1,"Function word used to connect words, phrases, or clauses",MAKE SURE THAT THE FLAPS ARE RETRACTED AND THE AILERON TRIM HANDWHEEL IS IN THE ZERO POSITION.,
ANGULAR,adjective,1,That has one or more angles,MAKE SURE THAT THE ANGULAR POSITION IS CORRECT.,
APART,adverb,1,At a distance (not specified) from,MOVE THE CABLE STRANDS APART.,
APPLICABLE,adjective,1,Correct or satisfactory for the task,REFER TO THE TABLE THAT FOLLOWS FOR THE APPLICABLE TORQUE VALUES.,
"APPLY (verb) , APPLIES, APPLIED, APPLIED",,1,1. To put or spread something on,APPLY THE SEALING COMPOUND.,
APPROVAL,noun,1,That which permits a person or a thing to do something,"BEFORE YOU REPAIR THIS UNIT, GET THE APPROVAL OF THE MANUFACTURER.",
APPROVED,adjective,1,,IN AN APPROVED AREA.,
APPROXIMATE,adjective,1,Almost correct or accurate,AN APPROXIMATE VALUE IS SATISFACTORY.,
APPROXIMATELY,adverb,1,Almost correct or accurate,DRAIN APPROXIMATELY 2 LITERS OF FUEL.,
AREA,noun,1,A specified surface or location,DO NOT SMOKE IN THE WORK AREA.,
"ARM (verb) , ARMS, ARMED, ARMED",,1,1. To install armaments,ARM THE AIRCRAFT.,
"ARM (verb) , ARMS, ARMED, ARMED",,1,2. To prepare for automatic operation,SET THE SWITCH TO “CLOSE” TO ARM THE CIRCUIT.,
AROUND,adverb,1,"On all sides of For other meanings, use:",PUT THE STRAP CLAMPS AROUND THE CYLINDER.,
ARROW,noun,1,A mark that has a point to show direction,MAKE SURE THAT THE ARROW POINTS IN THE DIRECTION OF THE FUEL FLOW.,
AS,preposition,1,"In the manner of, to the same quantity, equally",DO NOT USE THE CYLINDER AS A SUPPORT.,
AS ... AS,conjunction,1,"Construction used to show comparison or relation For “as long as,” refer to “long (as long as).”",MOVE THE LEVER AS FAST AS POSSIBLE.,
"ASSEMBLE (verb) , ASSEMBLES, ASSEMBLED, ASSEMBLED",,1,"To attach, connect, or put together the parts of something",ASSEMBLE THE VALVE AS FOLLOWS:,
ASSEMBLY,noun,1,Items that are connected for a specified function,REMOVE THE WHEEL BRAKE ASSEMBLY FROM THE AXLE.,
AT,preposition,1,"Function word that shows the location, position, direction, or time that something occurs",DISCONNECT THE HOSE AT THE PITOT HEAD.,
AT,preposition,1,,"AT APPROXIMATELY 300 KNOTS, THE LIGHT COMES ON.",
"ATTACH (verb) , ATTACHES, ATTACHED, ATTACHED",,1,To stay together or to cause different items to stay together,MAKE SURE THAT THE LABEL FULLY ATTACHES TO THE SURFACE AND THAT THERE ARE NO BUBBLES.,
AUTHORITY,noun,1,An official organization that gives approval to something,"BEFORE YOU CHANGE THE PROCEDURE, GET THE APPROVAL OF THE DESIGN AUTHORITY.",
AUTOMATIC,adjective,1,That operates without other input,THE AUTOMATIC SYSTEM WILL OPEN THE DOORS.,
AUTOMATICALLY,adverb,1,That operates without other input,THE FUEL FLOW STOPS AUTOMATICALLY.,
AUXILIARY,adjective,1,1. That operates in a secondary function,LUBRICANTS FOR THE ENGINE AND THE AUXILIARY EQUIPMENT ARE THE SAME.,
AVAILABLE,adjective,1,Prepared or supplied for you to use,"IF ELECTRICAL POWER IS AVAILABLE, DO A CONTINUITY CHECK.",
AWAY FROM,preposition,1,In or to a different position or direction,DO THE WORK IN AN AREA AWAY FROM EQUIPMENT OR METAL FRAME BUILDINGS.,
AXIAL,adjective,1,Related to an axis,DO STEPS 1 THRU 4 TO MAKE SURE THAT NO AXIAL LOAD IS ON THE ROD.,
AXIALLY,adverb,1,Related to an axis,APPLY THE LOAD AXIALLY.,
BACK,adverb,1,To an initial condition,MOVE THE ENGINE THROTTLE BACK TO 60 RPM.,
BAD (adjective),"WORSE, WORST",1,Not satisfactory Do not use this word if more accurate and clear words are available.,REFER TO CHAPTER 6 FOR INSTRUCTIONS ABOUT HOW TO PARK IN BAD WEATHER CONDITIONS.,
"BALANCE (verb) , BALANCES, BALANCED, BALANCED",,1,To make equal,BALANCE THE ELECTRICAL LOADS ON EACH GENERATOR.,
BARE,adjective,1,Without a surface layer or protection,BARE METAL SURFACES ARE USUALLY SATISFACTORY FOR AN ELECTRICAL BOND.,
BASIC,adjective,1,Approved minimum,THIS MODIFICATION CHANGES THE BASIC CONFIGURATION OF THE SYSTEM.,
"BE (verb) , IS, WAS, (also ARE, WERE) No other verb forms.",,1,"1. To occur, exist","IF THERE IS CORROSION ON THE PUMP VANES, REPLACE THE PUMP.",
BECAUSE,conjunction,1,As a result of,"BECAUSE THE FLUID LEVEL IS INCORRECT, THE SYSTEM WILL NOT OPERATE.",
BECAUSE OF,preposition,1,As a result of,"IF YOU CANNOT REMOVE A BOLT BECAUSE OF CORROSION, APPLY PENETRATING OIL.",
"BECOME (verb) , BECOMES, BECAME No other verb forms.",,1,To come to be,THE SCREEN BECOMES AVAILABLE.,
BEFORE,conjunction,1,"That precedes a specified time, sequence, or operation","BEFORE YOU DISCONNECT THE COMPONENTS, BLEED THE SYSTEM.",
BEFORE,preposition,1,"That precedes a specified time, sequence, or operation",THE BAR MOVES DOWN BEFORE 20 SECONDS.,
BEHIND,pre p,1,In a position at the rear of,THE PUMP IS INSTALLED BEHIND THE HYDRAULIC MOTOR.,
BELOW,pre p,1,"In (or to) a position farther down than something For other meanings, use:",THE DATE IS WRITTEN BELOW THE CYLINDER NECK.,
BEND,noun,1,The area where something is bent,EXAMINE THE BENDS FOR CRACKS.,
"BEND (verb) , BENDS, BENT, BENT",,1,To change or cause to change from straight to curved,BEND THE PIPE CAREFULLY.,
BETWEEN,preposition,1,Related to something before and after in time or position,MAKE SURE THAT THE STOPWATCH INDICATION IS BETWEEN 2 AND 4 MINUTES.,
"BLEED (verb) , BLEEDS, BLED, BLED",,1,To let a gas out of,BLEED THE SPEEDBRAKE HYDRAULIC SYSTEM.,
BLOCKAGE,noun,1,That which prevents correct operation,MAKE SURE THAT THERE IS NO BLOCKAGE OF THE PIPE.,
BLOCKED,a dj,1,That prevents correct operation,A BLOCKED OIL JET CAN CAUSE INCORRECT OPERATION.,
"BLOW (verb) , BLOWS, BLEW, BLOWN",,1,To cause gas to move,BLOW DRY AIR THROUGH THE FEED TUBES.,
BLUNT,adjective,1,Not sharp,REMOVE THE SEALANT WITH A BLUNT SCRAPER.,
BOND,noun,1,1. A connection between structural components for electrical continuity,DO A RESISTANCE CHECK OF THE PRIMARY BONDS.,
"BOND (verb) , BONDS, BONDED, BONDED",,1,1. To make an electrical bond,THE STATIC DISCHARGER IS ELECTRICALLY BONDED TO THE FRAME.,
BOTTOM,adjective,1,That is lowermost,REMOVE THE BOTTOM BOLT.,
BOTTOM,noun,1,The lowermost position,THE DRAIN PLUG IS AT THE BOTTOM OF THE UNIT.,
"BREAK (verb) , BREAKS, BROKE, BROKEN",,1,To cause to separate or become separated into parts by force,BREAK THE BOND OF THE SEALANT.,
"BREATHE (verb) , BREATHES, BREATHED, BREATHED",,1,To get gas into or out of the lungs,DO NOT BREATHE THE SOLVENT FUMES.,
BRIGHT (adjective),"BRIGHTER, BRIGHTEST",1,That gives much light,THE NAVIGATION LIGHTS CHANGE FROM DIM TO BRIGHT.,
BRIGHTLY,a dv,1,In a bright manner,THE LIGHTS COME ON BRIGHTLY.,
BUBBLE,noun,1,A small quantity of gas in a liquid or a solid,ADJUST THE CLINOMETER UNTIL THE BUBBLE IS IN THE CENTER.,
"BURN (verb) , BURNS, BURNED, BURNED",,1,1. To cause or undergo combustion,THE TURBINE BURNS FUEL.,
"BURN (verb) , BURNS, BURNED, BURNED",,1,2. To cause injury or damage through heat,HOT SURFACES CAN BURN YOU.,
BUT,conjunction,1,On the contrary,"TIGHTEN THE NUTS, BUT DO NOT TORQUE THEM AT THIS TIME.",
BY,preposition,1,Mathematical function word,DIVIDE THE VALUE BY TWO.,
"BYPASS (verb) , BYPASSES, BYPASSED, BYPASSED",,1,To change a circuit so that it goes past something instead of through it,"IN THIS CONFIGURATION, THE HYDRAULIC PRESSURE BYPASSES THE VALVE.",
"CALCULATE (verb) , CALCULATES, CALCULATED, CALCULATED",,1,To find a result by mathematics,CALCULATE THE PERCENTAGE WITH THE APPLICABLE FORMULA.,
"CALIBRATE (verb) , CALIBRATES, CALIBRATED, CALIBRATED",,1,To measure and adjust the precision of something,CALIBRATE THE THERMOMETER TO THE CELSIUS SCALE.,
CALIBRATION,noun,1,The procedure that calibrates,WRITE THE RESULTS OF THE CALIBRATION ON THE CORRECTION CHART.,
"CAN (verb) , CAN, COULD No other verb forms.",,1,"Auxiliary modal verb that means to be possible, to be able to, or to be permitted to",A MIXTURE OF FUEL AND OXYGEN CAN CAUSE AN EXPLOSION.,
"CANCEL (verb) , CANCELS, CANCELED, CANCELED",,1,1. To do the necessary steps to stop a process,"IF YOU ACCIDENTALLY PUSH THE SWITCH, CANCEL THE START SEQUENCE.",
CANNOT,verb,1,Auxiliary modal verb that means to not be able to,THE WHEEL CANNOT MOVE WHEN THE LOCK IS ENGAGED.,
CAPACITY,noun,1,The maximum quantity that something can hold or make,THE CAPACITY OF THE TANK IS 564 LITERS.,
CAREFUL,adjective,1,With precaution,BE CAREFUL WHEN YOU REMOVE THE COVER.,
CAREFULLY,adverb,1,In a careful manner,CAREFULLY APPLY A BEAD OF SEALING COMPOUND.,
CATCH,verb,1,To stop or prevent the movement of something,THE LUG ON THE PANEL OPENING CATCHES THE BOTTOM OF THE DRAWER.,
CATCH,verb,1,"COLLECT
              (verb)",COLLECT THE LEAKAGE IN A GRADUATED BEAKER.,Catch the leakage in a graduated beaker.
CAUSE,noun,1,Something that brings about a result,DO THE TROUBLESHOOTING PROCEDURE TO FIND THE CAUSE OF THE MALFUNCTION.,
"CAUSE (verb) , CAUSES, CAUSED, CAUSED",,1,To be the cause of,METAL OBJECTS CAN CAUSE MAGNETIC INTERFERENCE.,
CHANGE,noun,1,That which occurs when something changes,THE COLOR CHANGE SHOWS THAT THE TEMPERATURE IS TOO HIGH.,
"CHANGE (verb) , CHANGES, CHANGED, CHANGED",,1,To become or to cause to become different,"IF THE HUMIDITY CHANGES FREQUENTLY, PUT A COVER ON THE UNIT.",
"CHARGE (verb) , CHARGES, CHARGED, CHARGED",,1,To accumulate or add electrical energy,CHARGE THE BATTERY.,
"CHARGE (verb) , CHARGES, CHARGED, CHARGED",,1,"PRESSURIZE
              (verb)",PRESSURIZE THE ACCUMULATOR WITH NITROGEN.,Charge the accumulator with nitrogen.
CHECK,noun,1,The procedure you do to make sure that something operates correctly or has no defects,DO A CHECK OF THE HYDRAULIC SYSTEM.,
CHEMICAL,adjective,1,Related to a chemical,REMOVE THE CORROSION WITH AN APPROVED CHEMICAL COMPOUND.,
CHEMICALLY,adverb,1,Related to a chemical,REMOVE CORROSION CHEMICALLY.,
CIRCULAR,adjective,1,That has the shape of a circle,POLISH THE WINDOW WITH A CIRCULAR MOVEMENT.,
CLEAN,adjective,1,That does not include dirt or unwanted material,MAKE SURE THAT THE AREA IS CLEAN.,
"CLEAN (verb) , CLEANS, CLEANED, CLEANED",,1,To remove dirt or unwanted materials,CLEAN THE GASKET CONTACT SURFACE.,
CLEAR,adjective,1,1. Without blockage or interference,MAKE SURE THAT THE PITOT AIR INLET IS CLEAR.,
CLEARANCE,noun,1,The space between two objects that must be clear to make sure that they do not touch,MAKE SURE THAT THERE IS CLEARANCE BETWEEN THE LEVER AND THE ROLLER.,
CLEARLY,adverb,1,In a clear and not ambiguous manner,MAKE SURE THAT YOU CAN HEAR THE SIGNALS CLEARLY AT ALL STATIONS.,
CLICK,noun,1,"A short, sharp sound",TURN THE ADJUSTER FIVE CLICKS CLOCKWISE.,
CLOCKWISE,adverb,1,In the direction in which the hands of a clock turn when seen from the front,TURN THE NOZZLE 40 DEG. CLOCKWISE.,
CLOGGED,adjective,1,Blocked with unwanted material.,"IF THE FILTER IS CLOGGED, REPLACE IT.",
"CLOSE (verb) , CLOSES, CLOSED, CLOSED",,1,"1. To move together, or to move to a position that stops or prevents materials from going in or out",CLOSE THE INSTRUMENT PANEL.,
CODE,noun,1,"A sequence of symbols, letters, and/or numbers used for identification",EACH ELECTRICAL SYSTEM HAS A CODE TO IDENTIFY IT.,
COIL,noun,1,A sequence of loops,MAKE SURE THAT THE COILS OF THE OXYGEN HOSE DO NOT RUB TOGETHER.,
COLD (adjective),"COLDER, COLDEST",1,At low temperature,MAKE SURE THAT COLD AIR COMES OUT OF THE OUTLETS.,
"COLLECT (verb) , COLLECTS, COLLECTED, COLLECTED",,1,"To come, or cause to come, together in one location",FLUID COLLECTS IN THE BOTTOM OF THE COWLING.,
COLOR,noun,1,A property of light,THE COLOR CHANGES FROM BLUE TO RED.,
"COME (verb) , COMES, CAME No other verb forms.",,1,To move to your location,FUMES MUST NOT COME INTO THE CABIN.,
"COME ON (verb) , COMES ON, CAME ON No other verb forms.",,1,To become bright with light when an internal power source is energized,THE LIGHTS MUST COME ON.,
COMMUNICATION,noun,1,"The exchange of information through a common system of symbols, signs, or sounds",COMMUNICATION BETWEEN THESE TWO SYSTEMS IS ENCRYPTED.,
"COMPARE (verb) , COMPARES, COMPARED, COMPARED",,1,To examine for differences,COMPARE THE TWO VALUES.,
COMPATIBLE,adjective,1,That can operate together satisfactorily or be used together safely,THIS SOFTWARE IS COMPATIBLE ONLY WITH THE SPECIFIED OPERATING SYSTEM.,
"COMPLETE (verb) , COMPLETES, COMPLETED, COMPLETED",,1,To bring to an end,COMPLETE THE FUNCTIONAL TEST.,
COMPLETED,adjective,1,Successfully brought to an end,SEND THE COMPLETED REPORT TO THE SUPERVISOR FOR APPROVAL.,
COMPONENT,noun,1,"A part, subassembly, or unit that has a specified function",CLEAN THESE COMPONENTS WITH APPROVED SOLVENTS.,
"COMPRESS (verb) , COMPRESSES, COMPRESSED, COMPRESSED",,1,To decrease or cause to decrease in dimension or volume,COMPRESS THE SPRING AND CAREFULLY INSTALL THE COVER.,
CONCENTRATION,noun,1,The strength of something contained in a mixture,"IN A HIGH CONCENTRATION, THIS MATERIAL IS POISONOUS.",
CONCENTRIC,adjective,1,That has a common center,THE EXTERNAL DIAMETER MUST BE CONCENTRIC TO THE INTERNAL DIAMETER.,
CONDENSATION,noun,1,The result when a gas changes into a liquid,SET THE SWITCH TO THE “ON” POSITION TO REMOVE THE CONDENSATION.,
CONDITION,noun,1,1. Something that is necessary for what occurs,THESE INITIAL CONDITIONS ARE NECESSARY TO GET CORRECT RESULTS.,
"CONNECT (verb) , CONNECTS, CONNECTED, CONNECTED",,1,To come together or cause to come together to make one unit or system,CONNECT THE ELECTRICAL CONNECTORS TO THE INSTRUMENT.,
CONNECTION,noun,1,That which connects or is connected,MAKE SURE THAT ALL THE FUEL AND AIR CONNECTIONS ARE INSTALLED.,
CONSTANT,adjective,1,"That continues to be the same, without change",MAKE SURE THAT THE CABIN PRESSURE STAYS CONSTANT.,
CONSTANTLY,adverb,1,Incessantly,THE INSTRUMENT WILL CONSTANTLY SHOW THIS VALUE.,
CONTACT,verb,1,"To start communication For other meanings, use:",CONTACT CUSTOMER SERVICES.,
"CONTAIN (verb) , CONTAINS, CONTAINED, CONTAINED",,1,To have in something or hold in something,EACH SURVIVAL KIT CONTAINS THESE ITEMS:,
CONTAINER,noun,1,"Something that holds fluids, materials, or objects",PUT THE CONTAINER BELOW THE DRAIN PLUG.,
CONTAMINATION,noun,1,Unwanted change of the original condition of a material because of chemical or physical agents or a material that causes such a change,DUST CAN CAUSE CONTAMINATION ON ALL FILTERS.,
CONTENTS,noun,1,Something that is in a container,EXAMINE THE CONTENTS OF THE BOX FOR MISSING ITEMS.,
"CONTINUE (verb) , CONTINUES, CONTINUED, CONTINUED",,1,To stay or keep in current condition or operation,CONTINUE THE TEST.,
CONTINUOUS,adjective,1,That continues,MAKE SURE THAT THERE IS CONTINUOUS MOVEMENT OF THE PROBE.,
CONTINUOUSLY,adverb,1,In a continuous manner,APPLY PRESSURE CONTINUOUSLY.,
CONTOUR,noun,1,The outer line of something,CUT ALONG THE CONTOUR TO REMOVE THE DAMAGED SKIN.,
CONTROL,noun,1,Something that controls,"IN AN EMERGENCY, USE THE MANUAL CONTROL.",
"CONTROL (verb) , CONTROLS, CONTROLLED, CONTROLLED",,1,"To give or send signals that adjust, operate, or keep something to a limit, or that cause something to operate",RADIO MASTER SWITCH 1 CONTROLS THE BUS BAR.,
COOL,adjective,1,Moderately cold,"WHEN THE AREA IS SUFFICIENTLY COOL, POLISH THE SURFACE.",
COPY,noun,1,An object made the same as another object,SEND FIVE COPIES OF THE DEFECT REPORT TO THE ENGINEERING AUTHORITY.,
CORNER,noun,1,"The point or the angle made when lines, sides, or edges touch",EXAMINE THE OPENING FOR CRACKS THAT START AT ITS CORNERS.,
CORRECT,adjective,1,That agrees with all that is necessary to the maximum,MAKE SURE THAT THE POLARITIES ARE CORRECT.,
"CORRECT (verb) , CORRECTS, CORRECTED, CORRECTED",,1,To make correct,CORRECT THE TENSION.,
CORRECTION,noun,1,A change to make something correct,DO NOT MAKE THE CORRECTION AT THIS HEADING.,
CORRECTLY,adverb,1,In a correct manner,MAKE SURE THAT THE CIRCLIP IS CORRECTLY INSTALLED.,
"COUNT (verb) , COUNTS, COUNTED, COUNTED",,1,To add the number of objects or occurrences to get a total,COUNT THE NUMBER OF TREADS ON THE TIRE.,
COUNTERCLOCK- WISE,adverb,1,In the opposite direction to clockwise,MAKE SURE THAT YOU TURN THE CONTROL KNOB COUNTERCLOCKWISE.,
CURVE,noun,1,The shape of something which is bent but which has no angles,THE RADIUS OF THE CURVE MUST BE A MINIMUM OF 8 mm.,
"CUT (verb) , CUTS, CUT, CUT",,1,1. To divide into parts,CUT THE CABLE INTO THREE EQUAL LENGTHS.,
CYCLE,noun,1,One complete sequence of operation,SET THE SWITCH TO THREE CYCLES A MINUTE.,
DAMAGE,noun,1,The result of an occurrence that causes deterioration of the condition of something,EXAMINE THE SURFACE FOR DAMAGE.,
DAMAGED,adjective,1,That has or can be affected by damage,REPLACE THE DAMAGED PARTS.,
DANGEROUS,adjective,1,"That can cause injury, damage to health or can kill",IT IS DANGEROUS TO USE AIR IN THIS SYSTEM.,
DATA,noun,1,1. Known facts,MAKE SURE THAT YOU GET ALL THE DATA ABOUT THE PROBLEM.,
DATA,noun,1,2. Numbers and symbols used by computers,DO A TEST TO FIND IF THE MANAGEMENT UNIT TRANSMITS THESE DATA.,
DATE,noun,1,The time at which an event occurs,"ON THE LABEL, READ THE DATE OF THE LAST INSPECTION.",
"DE-ENERGIZE (verb) , DE-ENERGIZES, DE-ENERGIZED, DE-ENERGIZED",,1,To remove electrical power from,DE-ENERGIZE THE AC AND DC BUSBARS.,
DEACTIVATE,verb,1,"To make a system, function, or feature no longer ready for operation For other meanings, use:",SET THE SWITCH TO THE STANDBY POSITION TO DEACTIVATE THE MONITORING BOX.,
DECISION,noun,1,The result after you think about a problem,MAKE A DECISION ABOUT WHICH PROCEDURE YOU WILL USE.,
"DECREASE (verb) , DECREASES, DECREASED, DECREASED",,1,To make or become smaller or lower,DECREASE THE HEADING INDICATIONS.,
DEDICATED,adjective,1,That is used only for one purpose,A DEDICATED TOOL IS NECESSARY FOR THE INSTALLATION OF THE UNIT.,
DEEP (adjective),"DEEPER, DEEPEST",1,That has a specified depth,MAKE SURE THAT THE HOLE IS 20 mm DEEP.,
DEFECTIVE,adjective,1,Unserviceable for operation,REPLACE THE DEFECTIVE BOOSTER PUMP.,
"DEFLATE (verb) , DEFLATES, DEFLATED, DEFLATED",,1,To make or become smaller as a result of depressurization,DEFLATE THE TIRE TO A PRESSURE OF 2 bar (29 psi).,
"DEFLATE (verb) , DEFLATES, DEFLATED, DEFLATED",,1,,"IF THE WHEEL TEMPERATURE INCREASES TO MORE THAN 177 DEG., THE CORE OF THE FUSIBLE PLUG MELTS AND THE TIRE DEFLATES.",
"DEFUEL (verb) , DEFUELS, DEFUELED, DEFUELED",,1,To remove fuel,DEFUEL THE TANK.,
"DEPLOY (verb) , DEPLOYS, DEPLOYED, DEPLOYED",,1,To move or cause to move from a specified position of storage and into operation,"WHEN THE THRUST REVERSER DEPLOYS, KEEP PERSONNEL AWAY FROM THE AIRCRAFT.",
DEPTH,noun,1,"The distance from the top down, from the surface down, from the front surface to the rear surface",MEASURE THE DEPTH OF THE DENT AS SHOWN IN FIGURE 4.,
DETERIORATION,noun,1,A worse condition,THIS CONDITION WILL CAUSE DETERIORATION OF THE SURFACE.,
DEVICE,noun,1,Something used to do a task,INSTALL THE SAFETY DEVICES.,
DIAGONALLY,adverb,1,In a diagonal direction,APPLY THE FIRST LAYER OF TAPE ACROSS THE CUTOUT AND THE SECOND AND THIRD LAYERS DIAGONALLY.,
DIFFERENCE,noun,1,"That which is different between two quantities, numbers, or functions",THE DIFFERENCE BETWEEN THE TWO DIMENSIONS MUST NOT BE MORE THAN 0.10 mm.,
DIFFERENT,adjective,1,Not the same,"IF THE INDICATIONS ARE DIFFERENT, DO THESE STEPS.",
DIFFERENTLY,adverb,1,In a different manner,THE TWO EXTRACTORS OPERATE DIFFERENTLY.,
DIGITAL,adjective,1,Related to digits,CONNECT THE PRODS OF THE DIGITAL VOLTMETER.,
DIGITALLY,adverb,1,Given by digits,THE VALUE IS SHOWN DIGITALLY ON THE DISPLAY.,
DIM (adjective),"DIMMER, DIMMEST",1,Not bright,"DURING NIGHT OPERATION, MAKE SURE THAT THE PANEL LIGHTS ARE DIM.",
DIMENSION,noun,1,The result when something is measured in one direction,DIMENSION “A” MUST NOT BE MORE THAN 50 PERCENT OF DIMENSION “D.”,
DIMLY,adverb,1,Not bright,MAKE SURE THAT THE LIGHT COMES ON DIMLY.,
DIRECTION,noun,1,The line on which something moves or is pointed,THE ARROW ON THE VALVE BODY SHOWS THE DIRECTION OF THE FLOW.,
